Index,Model,Price,specs,gen,Core_Thread,RAM,Storage,Graphics,display,os,Warranty
906,HP Envy 16-h0025tx Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,92,490",76,12th Gen Intel Core i9 12900H ,"14 Cores, 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"16 inches, 3840 x 2160 pixels",Windows 11  OS,1 Year Warranty
907,HP Envy x360 13-bf0058TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹1,03,000",67,12th Gen Intel Core i5 1230U,"10 Cores, 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris X Graphics,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
908,HP Envy x360 16-h0028TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/4GB Graph),"₹1,43,990",69,12th Gen Intel Core i7 1250U,"10 Cores, 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris X Graphics,"13.3 inches, 3840 x 2400 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
909,Honor MagicBook 15 WDQ9CHNE Laptop (AMD Ryzen 5 5500U/ 8GB/ 256GB SSD/ Win11),"₹39,990",,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
910,Lenovo Legion 5 Pro 82RG009AIN Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,49,990",76,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
911,Lenovo Legion 5 Pro 82RG00EKIN Laptop (AMD Ryzen 7 6800H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,77,999",82,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 3070 ,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
912,HP Chromebook 14a-na1004TU Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),"₹25,020",,Intel Celeron  N4500,"Dual Core, 2 Threads",4 GB LPDDR4 RAM,64 GB Hard Disk,Intel Integrated UHD Graphics,"14 inches, 1366 x 768 pixels, Touch Screen",Chrome OS,1 Year Warranty
913,Lenovo Yoga 6 82UD0068IN 2-in-1 Laptop (Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),"₹80,030",63,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,3 Year Warranty
914,Lenovo V14 G2-ITL 82KAA025IH Laptop (11th Gen Core i3/ 8GB/ 1TB HDD/ Win10 Pro),"₹51,500",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
915,Lenovo V14-IIL 82C4019YIH Laptop (10th Gen Core i5/ 4GB/ 256GB SSD/ Win10 Home),"₹48,000",,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1366 x 768 pixels",Windows 10 OS,1 Year Warranty
916,Gigabyte Aero 5 XE4 OLED Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,85,490",81,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 3070Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,2 Year Warranty
917,Asus VivoBook 14 2022 X1402ZA-EK521WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹56,990",63,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
918,Asus VivoBook 14 2022 X1402ZA-MW512WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹66,990",67,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
919,Lenovo E41-55 ‎82C700FNGE Laptop (Athlon Pro 3045B/ 4GB/ 1TB HDD/ Win11 Home),"₹21,999",,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",4 GB  RAM,1 TB Hard Disk,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
920,Dell Latitude 3420 Laptop (11th Gen Core i5/ 16GB/ 1TB 512GB SSD/ Win10 Pro),"₹74,999",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,Intel UHD Graphics,"14 inches, 1366 x 768 pixels",Windows 10  OS
